Name: ВРЕМЯ Number: 66 Type: 1 Dimension: ДTBP     Count: 9147
time: 04:39:01:376	Value: 6.1214025374E7
time: 04:39:01:376	Value: 6.121402539E7
time: 04:39:01:376	Value: 6.1214025407E7
time: 04:39:01:376	Value: 6.1214025423E7
time: 04:39:01:376	Value: 6.1214025439E7
time: 04:39:01:376	Value: 6.1214025455E7
time: 04:39:01:376	Value: 6.1214025471E7
time: 04:39:01:376	Value: 6.1214025487E7
time: 04:39:01:376	Value: 6.1214025504E7
time: 04:39:01:376	Value: 6.121402552E7
time: 04:39:01:376	Value: 6.1214025536E7
time: 04:39:01:376	Value: 6.1214025552E7
time: 04:39:01:376	Value: 6.1214025568E7
time: 04:39:01:376	Value: 6.1214025585E7
time: 04:39:01:376	Value: 6.1214025601E7
time: 04:39:01:632	Value: 6.1214025617E7
time: 04:39:01:632	Value: 6.1214025633E7
time: 04:39:01:632	Value: 6.1214025649E7
time: 04:39:01:632	Value: 6.1214025666E7
time: 04:39:01:632	Value: 6.1214025682E7
time: 04:39:01:632	Value: 6.1214025746E7
time: 04:39:01:632	Value: 6.1214025763E7
time: 04:39:01:632	Value: 6.1214025779E7
time: 04:39:01:632	Value: 6.1214025795E7
time: 04:39:01:632	Value: 6.1214025811E7
time: 04:39:01:632	Value: 6.1214025827E7
time: 04:39:01:632	Value: 6.1214025844E7
time: 04:39:01:632	Value: 6.121402586E7
time: 04:39:01:888	Value: 6.1214025876E7
time: 04:39:01:888	Value: 6.1214025892E7
time: 04:39:01:888	Value: 6.1214025908E7
time: 04:39:01:888	Value: 6.1214025925E7
time: 04:39:01:888	Value: 6.1214025941E7
time: 04:39:01:888	Value: 6.1214025957E7
time: 04:39:01:888	Value: 6.1214025973E7
time: 04:39:01:888	Value: 6.1214025989E7
time: 04:39:01:888	Value: 6.1214026005E7
time: 04:39:01:888	Value: 6.1214026022E7
time: 04:39:01:888	Value: 6.1214026038E7
time: 04:39:01:888	Value: 6.1214026054E7
time: 04:39:01:888	Value: 6.121402607E7
time: 04:39:01:888	Value: 6.1214026086E7
time: 04:39:01:888	Value: 6.1214026119E7
time: 04:39:02:144	Value: 6.1214026135E7
time: 04:39:02:144	Value: 6.1214026151E7
time: 04:39:02:144	Value: 6.1214026167E7
time: 04:39:02:144	Value: 6.1214026184E7
time: 04:39:02:144	Value: 6.12140262E7
time: 04:39:02:144	Value: 6.1214026216E7
time: 04:39:02:144	Value: 6.1214026232E7
time: 04:39:02:144	Value: 6.1214026248E7
time: 04:39:02:144	Value: 6.1214026264E7
time: 04:39:02:144	Value: 6.1214026281E7
time: 04:39:02:144	Value: 6.1214026297E7
time: 04:39:02:144	Value: 6.1214026313E7
time: 04:39:02:144	Value: 6.1214026329E7
time: 04:39:02:144	Value: 6.1214026345E7
time: 04:39:02:144	Value: 6.1214026362E7
time: 04:39:02:144	Value: 6.1214026378E7
time: 04:39:02:400	Value: 6.1214026394E7
time: 04:39:02:400	Value: 6.121402641E7
time: 04:39:02:400	Value: 6.1214026426E7
time: 04:39:02:400	Value: 6.1214026443E7
time: 04:39:02:400	Value: 6.1214026459E7
time: 04:39:02:400	Value: 6.1214026475E7
time: 04:39:02:400	Value: 6.1214026491E7
time: 04:39:02:400	Value: 6.1214026507E7
time: 04:39:02:400	Value: 6.1214026523E7
time: 04:39:02:400	Value: 6.121402654E7
time: 04:39:02:400	Value: 6.1214026556E7
time: 04:39:02:400	Value: 6.1214026572E7
time: 04:39:02:400	Value: 6.1214026588E7
time: 04:39:02:400	Value: 6.1214026604E7
time: 04:39:02:400	Value: 6.1214026621E7
time: 04:39:02:656	Value: 6.1214026637E7
time: 04:39:02:656	Value: 6.1214026653E7
time: 04:39:02:656	Value: 6.1214026669E7
time: 04:39:02:656	Value: 6.1214026685E7
time: 04:39:02:656	Value: 6.1214026702E7
time: 04:39:02:656	Value: 6.1214026718E7
time: 04:39:02:656	Value: 6.1214026734E7
time: 04:39:02:656	Value: 6.121402675E7
time: 04:39:02:656	Value: 6.1214026766E7
time: 04:39:02:656	Value: 6.1214026782E7
time: 04:39:02:656	Value: 6.1214026799E7
time: 04:39:02:656	Value: 6.1214026815E7
time: 04:39:02:656	Value: 6.1214026831E7
time: 04:39:02:656	Value: 6.1214026847E7
time: 04:39:02:656	Value: 6.1214026863E7
time: 04:39:02:656	Value: 6.121402688E7
time: 04:39:02:912	Value: 6.1214026896E7
time: 04:39:02:912	Value: 6.1214026912E7
time: 04:39:02:912	Value: 6.1214026928E7
time: 04:39:02:912	Value: 6.1214026944E7
time: 04:39:02:912	Value: 6.1214026961E7
time: 04:39:02:912	Value: 6.1214026977E7
time: 04:39:02:912	Value: 6.1214026993E7
time: 04:39:02:912	Value: 6.1214027009E7
time: 04:39:02:912	Value: 6.1214027025E7
time: 04:39:02:912	Value: 6.1214027041E7
time: 04:39:02:912	Value: 6.1214027058E7
time: 04:39:02:912	Value: 6.1214027074E7
time: 04:39:02:912	Value: 6.121402709E7
time: 04:39:02:912	Value: 6.1214027106E7
time: 04:39:02:912	Value: 6.1214027122E7
time: 04:39:02:912	Value: 6.1214027139E7
time: 04:39:03:168	Value: 6.1214027155E7
time: 04:39:03:168	Value: 6.1214027171E7
time: 04:39:03:168	Value: 6.1214027187E7
time: 04:39:03:168	Value: 6.1214027203E7
time: 04:39:03:168	Value: 6.121402722E7
time: 04:39:03:168	Value: 6.1214027236E7
time: 04:39:03:168	Value: 6.1214027252E7
time: 04:39:03:168	Value: 6.1214027268E7
time: 04:39:03:168	Value: 6.1214027284E7
time: 04:39:03:168	Value: 6.12140273E7
time: 04:39:03:168	Value: 6.1214027317E7
time: 04:39:03:168	Value: 6.1214027333E7
time: 04:39:03:168	Value: 6.1214027349E7
time: 04:39:03:168	Value: 6.1214027365E7
time: 04:39:03:168	Value: 6.1214027381E7
time: 04:39:03:168	Value: 6.1214027398E7
time: 04:39:03:424	Value: 6.1214027414E7
time: 04:39:03:424	Value: 6.121402743E7
time: 04:39:03:424	Value: 6.1214027446E7
time: 04:39:03:424	Value: 6.1214027462E7
time: 04:39:03:424	Value: 6.1214027479E7
time: 04:39:03:424	Value: 6.1214027495E7
time: 04:39:03:424	Value: 6.1214027511E7
time: 04:39:03:424	Value: 6.1214027527E7
time: 04:39:03:424	Value: 6.1214027543E7
time: 04:39:03:424	Value: 6.1214027559E7
time: 04:39:03:424	Value: 6.1214027576E7
time: 04:39:03:424	Value: 6.1214027592E7
time: 04:39:03:424	Value: 6.1214027608E7
time: 04:39:03:424	Value: 6.1214027624E7
time: 04:39:03:424	Value: 6.121402764E7
time: 04:39:03:424	Value: 6.1214027657E7
time: 04:39:03:680	Value: 6.1214027673E7
time: 04:39:03:680	Value: 6.1214027689E7
time: 04:39:03:680	Value: 6.1214027705E7
time: 04:39:03:680	Value: 6.1214027721E7
time: 04:39:03:680	Value: 6.1214027738E7
time: 04:39:03:680	Value: 6.1214027754E7
time: 04:39:03:680	Value: 6.121402777E7
time: 04:39:03:680	Value: 6.1214027786E7
time: 04:39:03:680	Value: 6.1214027802E7
time: 04:39:03:680	Value: 6.1214027818E7
time: 04:39:03:680	Value: 6.1214027835E7
time: 04:39:03:680	Value: 6.1214027851E7
time: 04:39:03:680	Value: 6.1214027867E7
time: 04:39:03:680	Value: 6.1214027883E7
time: 04:39:03:680	Value: 6.1214027899E7
time: 04:39:03:936	Value: 6.1214027916E7
time: 04:39:03:936	Value: 6.1214027932E7
time: 04:39:03:936	Value: 6.1214027948E7
time: 04:39:03:936	Value: 6.1214027964E7
time: 04:39:03:936	Value: 6.121402798E7
time: 04:39:03:936	Value: 6.1214027997E7
time: 04:39:03:936	Value: 6.1214028013E7
time: 04:39:03:936	Value: 6.1214028029E7
time: 04:39:03:936	Value: 6.1214028045E7
time: 04:39:03:936	Value: 6.1214028061E7
time: 04:39:03:936	Value: 6.1214028077E7
time: 04:39:03:936	Value: 6.1214028094E7
time: 04:39:03:936	Value: 6.121402811E7
time: 04:39:03:936	Value: 6.1214028126E7
time: 04:39:03:936	Value: 6.1214028142E7
time: 04:39:03:936	Value: 6.1214028158E7
time: 04:39:04:192	Value: 6.1214028175E7
time: 04:39:04:192	Value: 6.1214028191E7
time: 04:39:04:192	Value: 6.1214028207E7
time: 04:39:04:192	Value: 6.1214028223E7
time: 04:39:04:192	Value: 6.1214028239E7
time: 04:39:04:192	Value: 6.1214028256E7
time: 04:39:04:192	Value: 6.1214028272E7
time: 04:39:04:192	Value: 6.1214028288E7
time: 04:39:04:192	Value: 6.1214028304E7
time: 04:39:04:192	Value: 6.121402832E7
time: 04:39:04:192	Value: 6.1214028336E7
time: 04:39:04:192	Value: 6.1214028353E7
time: 04:39:04:192	Value: 6.1214028369E7
time: 04:39:04:192	Value: 6.1214028385E7
time: 04:39:04:192	Value: 6.1214028401E7
time: 04:39:04:192	Value: 6.1214028417E7
time: 04:39:04:448	Value: 6.1214028434E7
time: 04:39:04:448	Value: 6.121402845E7
time: 04:39:04:448	Value: 6.1214028466E7
time: 04:39:04:448	Value: 6.1214028482E7
time: 04:39:04:448	Value: 6.1214028498E7
time: 04:39:04:448	Value: 6.1214028515E7
time: 04:39:04:448	Value: 6.1214028531E7
time: 04:39:04:448	Value: 6.1214028547E7
time: 04:39:04:448	Value: 6.1214028563E7
time: 04:39:04:448	Value: 6.1214028579E7
time: 04:39:04:448	Value: 6.1214028595E7
time: 04:39:04:448	Value: 6.1214028612E7
time: 04:39:04:448	Value: 6.1214028628E7
time: 04:39:04:448	Value: 6.1214028644E7
time: 04:39:04:448	Value: 6.121402866E7
time: 04:39:04:448	Value: 6.1214028676E7
time: 04:39:04:704	Value: 6.1214028693E7
time: 04:39:04:704	Value: 6.1214028709E7
time: 04:39:04:704	Value: 6.1214028725E7
time: 04:39:04:704	Value: 6.1214028741E7
time: 04:39:04:704	Value: 6.1214028757E7
time: 04:39:04:704	Value: 6.1214028773E7
time: 04:39:04:704	Value: 6.121402879E7
time: 04:39:04:704	Value: 6.1214028806E7
